 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,295.983,42.437,38,47,12560.709,15235.000
2,Cad6B:background,184.680,41.692,38,47,7699.669,9339.000
3,Cad6B:background,128.616,42.545,39,47,5471.968,6637.000
4,Cad6B:Cntl,13728.975,71.938,49,259,987641.090,1197919.000
5,Cad6B:Expt,17487.706,68.839,49,234,1203827.918,1460134.000
6,Snai2:background,295.983,50.813,42,57,15039.872,18242.000
7,Snai2:background,184.680,50.402,46,56,9308.199,11290.000
8,Snai2:background,128.616,50.897,46,57,6546.244,7940.000
9,Snai2:Cntl,13728.975,315.070,112,992,4325588.301,5246546.000
10,Snai2:Expt,17487.706,294.602,131,777,5151915.590,6248806.000
