 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,8.399,20.012,11,36,168.088,3262.000
2,Cad6B:background,20.612,19.913,10,38,410.428,7965.000
3,Cad6B:background,6.750,19.779,11,33,133.512,2591.000
4,Cad6B:Cntl,3874.723,198.411,13,4086,768787.482,14919511.000
5,Cad6B:Expt,2591.033,182.011,11,3777,471595.521,9152041.000
6,Snai2:background,8.399,31.933,17,48,268.208,5205.000
7,Snai2:background,20.612,31.360,16,55,646.380,12544.000
8,Snai2:background,6.750,30.130,17,49,203.385,3947.000
9,Snai2:Cntl,3874.723,431.955,18,3629,1673707.575,32480886.000
10,Snai2:Expt,2591.033,273.204,17,1997,707880.565,13737518.000
