 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,32.824,17.427,8,32,572.023,11101.000
2,Cad6B:background,30.814,17.119,8,28,527.502,10237.000
3,Cad6B:background,14.531,17.603,9,29,255.790,4964.000
4,Cad6B:Cntl,3434.253,102.473,9,3417,351917.975,6829513.000
5,Cad6B:Expt,2279.076,112.849,10,2137,257191.957,4991208.000
6,Snai2:background,32.824,137.436,92,205,4511.209,87547.000
7,Snai2:background,30.814,137.773,93,202,4245.371,82388.000
8,Snai2:background,14.531,135.450,87,185,1968.253,38197.000
9,Snai2:Cntl,3434.253,644.216,100,3068,2212400.707,42935060.000
10,Snai2:Expt,2279.076,627.125,70,2954,1429265.129,27737102.000
