 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,16.850,17.804,9,29,300.002,5822.000
2,Cad6B:background,17.159,17.583,7,35,301.702,5855.000
3,Cad6B:background,17.005,17.218,8,30,292.788,5682.000
4,Cad6B:Cntl,2618.858,79.885,7,8064,209207.225,4059990.000
5,Cad6B:Expt,2655.495,76.415,8,3073,202918.522,3937948.000
6,Snai2:background,16.850,47.878,22,85,806.738,15656.000
7,Snai2:background,17.159,46.859,27,73,804.059,15604.000
8,Snai2:background,17.005,47.248,26,78,803.440,15592.000
9,Snai2:Cntl,2618.858,709.752,22,4455,1858739.196,36071711.000
10,Snai2:Expt,2655.495,272.761,21,2700,724314.451,14056443.000
