,Embryo,Stain,ExptDate,Cntl CTCF,Expt CTCF,Expt/Cntl CTCF,Norm Cntl CTCF,Norm Expt CTCF
0,Emb1,Ceramide,20190322,233662.24952477776,215138.0219465556,0.8938900318382275,1.1514436452869294,1.0601597336915691
1,Emb10,Ceramide,20190322,112782.02856344444,139258.2285381111,1.2259855850404264,0.5557686376642383,0.686238374535205
2,Emb2,Ceramide,20190322,226603.89571055557,167773.0421117778,0.7645062096794956,1.11666140441532,0.8267540160336333
3,Emb3,Ceramide,20190322,199501.59088666667,152238.3029631111,0.8100638909794656,0.9831063405333088,0.7502017414993357
4,Emb4,Ceramide,20190322,194906.42071944443,177976.85988777774,1.0130611287658924,0.9604622056813114,0.8770365120711247
5,Emb5,Ceramide,20190322,235164.1310176667,180216.38810122223,0.7741223682302788,1.1588446349824326,0.8880724861536133
6,Emb6,Ceramide,20190322,248060.3185147778,242277.2122707778,0.9482535757645753,1.2223946229337501,1.1938965623860327
7,Emb7,Ceramide,20190322,169223.4457381111,121183.33878366667,0.7320098124746955,0.8339013324787979,0.597168715275548
8,Emb8,Ceramide,20190322,186593.55441344445,140853.01184655554,0.7793486813954943,0.9194979630549109,0.6940971669154575
9,Emb9,Ceramide,20190322,222800.54620899996,163486.7157136667,0.7567790764279513,1.0979192129689992,0.8056318052239352
