Date,Experiment,Image,Target,Treatment,Dose,Embryo,Somites,Section,Control Side,Experimental Side
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb9_9ss_20x_sec1.tif,SMPD3,gRNA1,2 µg/µl,1,9,1,Complete channel,Complete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb1_9ss_20x_sec1.tif,SMPD3,gRNA1,2 µg/µl,1,9,2,Complete channel,Incomplete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb1_9ss_20x_sec2.tif,SMPD3,gRNA1,2 µg/µl,1,9,3,Incomplete channel,No channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb1_9ss_20x_sec3.tif,SMPD3,gRNA1,2 µg/µl,2,8,1,Complete channel,Incomplete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb2_8ss_20x_sec1.tif,SMPD3,gRNA1,2 µg/µl,2,8,2,Complete channel,No channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb2_8ss_20x_sec2.tif,SMPD3,gRNA1,2 µg/µl,2,8,3,Complete channel,Incomplete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb2_8ss_20x_sec3.tif,SMPD3,gRNA1,2 µg/µl,3,9,1,Complete channel,Incomplete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb3_9ss_20x_sec1.tif,SMPD3,gRNA1,2 µg/µl,3,9,2,Complete channel,Incomplete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb3_9ss_20x_sec2.tif,SMPD3,gRNA1,2 µg/µl,3,9,3,Incomplete channel,No channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb3_9ss_20x_sec3.tif,SMPD3,gRNA1,2 µg/µl,4,9,1,Incomplete channel,Incomplete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb4_9ss_20x_sec1.tif,SMPD3,gRNA1,2 µg/µl,4,9,2,Complete channel,Incomplete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb4_9ss_20x_sec2.tif,SMPD3,gRNA1,2 µg/µl,4,9,3,Complete channel,Complete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb4_9ss_20x_sec3.tif,SMPD3,gRNA1,2 µg/µl,5,8,1,Complete channel,Complete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb5_8ss_20x_sec1.tif,SMPD3,gRNA1,2 µg/µl,5,8,2,Complete channel,Complete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb5_8ss_20x_sec2.tif,SMPD3,gRNA1,2 µg/µl,5,8,3,Complete channel,Complete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb5_8ss_20x_sec3.tif,SMPD3,gRNA1,2 µg/µl,9,9,1,Complete channel,Incomplete channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb9_9ss_20x_sec2.tif,SMPD3,gRNA1,2 µg/µl,9,9,2,Complete channel,No channel
20180616,2018.06.16_SMPD3_CRISPR,20180616_SMPD3gRNA1DNA_Pax7LamininTCFLef_Emb9_9ss_20x_sec3.tif,SMPD3,gRNA1,2 µg/µl,9,9,3,Incomplete channel,Incomplete channel
