,Date,Treatment,Dose,Image,Somites,Control Area,Experiment Area,Exp/Ctl Area,Norm Control Area,Norm Experiment Area
0,20180715,SMPD3MONC11m3bCat,"0,8mM2ugul","20180715_SMPD3MONC11m3bCat_0,8mM2ugul_Pax7GFP_Emb6_8ss_10x",8ss,72103.705,23918.319,0.331721081461764,1.1193372001393358,0.3713077465506034
1,20180630,SMPD3MO,"0,8mM","20180630_SMPD3MO_0,8mM_Pax7_Emb5_8ss_10x",8ss,80452.84599999999,47922.587999999996,0.5956605686764642,0.9551974117169965,0.5689734334616329
2,20181119,SMPD3MO,"0,6mM","20181119_SMPD3MO_0,6mM_Pax7_Emb6_7ss_10x",7ss,47346.082,27928.306,0.5898757578293384,0.5621287155129439,0.33158610206083033
3,20180630,SMPD3MO,"0,8mM","20180630_SMPD3MO_0,8mM_Pax7_Emb3_9ss_10x",9ss,146043.286,47621.453,0.3260776602903882,1.7339370292238645,0.5653981295801842
4,20180514,SMPD3MO,"0,8mM","20180514_SMPD3MO_0,8mM_Pax7Laminin_Emb6_8ss_10x",8ss,72508.322,52025.129,0.7175056264576085,0.8608739770665486,0.6176819222161869
5,20190603,SMPD3MONC11m3bCat,"0,8mM2ugul","20190603_SMPD3MONC11m3bCat_0,8mM2ugul_Cad6bRFPGFPSnai2_Emb8_8ss_5x",8ss,66671.106,20264.501,0.3039472751509477,1.0350015872309595,0.31458591221575605
6,20181102,SMPD3gRNA1RNP,"0,35ugul","20181102_SMPD3gRNA1RNP_0,35ugul_Pax7Laminin_Emb3_7ss_10x",7ss,56474.135,44153.345,0.7818330462254978,1.4111079018144845,1.103250789428489
7,20180715,SMPD3MONC11m3bCat,"0,8mM2ugul","20180715_SMPD3MONC11m3bCat_0,8mM2ugul_Pax7GFP_Emb2_7ss_10x",7ss,50204.91099999999,35216.774,0.7014607395678881,0.779380539626702,0.5467048497313661
8,20181119,SMPD3MO,"1,0mM","20181119_SMPD3MO_1,0mM_Pax7_Emb5_6ss_10x",6ss,41534.435,22358.227000000003,0.538305793734765,0.4931284197096997,0.2654538853850002
9,20181102,SMPD3gRNA1RNP,"0,35ugul","20181102_SMPD3gRNA1RNP_0,35ugul_Pax7Laminin_Emb6_7ss_10x",7ss,34125.388999999996,26955.85,0.7899060139651449,0.8526842610407948,0.6735404258095493
10,20180702,SMPD3MO,"0,8mM","20180702_SMPD3MO_0,8mM_Pax7TCFLefRFP_Emb3_9ss_10x",9ss,97942.61300000001,72303.432,0.738222411934221,1.162849235120899,0.8584413670668141
11,20181119,SMPD3MO,"1,0mM","20181119_SMPD3MO_1,0mM_Pax7_Emb3_7ss_10x",7ss,52654.599,42694.662000000004,0.8108439302709343,0.6251554690780778,0.5069035175776381
