 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,31.690,11.633,368.638,7154
2,TCFLefRFP:background,11.439,11.685,133.666,2594
3,TCFLefRFP:background,18.705,11.669,218.277,4236
4,TCFLefRFP:Cntl,3761.256,60.971,229328.990,4450484
5,TCFLefRFP:Expt,3535.096,71.788,253775.790,4924912
6,pCIG:background,31.690,18.800,595.778,11562
7,pCIG:background,11.439,18.730,214.258,4158
8,pCIG:background,18.705,18.667,349.161,6776
9,pCIG:Cntl,3761.256,150.561,566297.990,10989889
10,pCIG:Expt,3535.096,134.735,476299.758,9243334
