 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,187.978,17.105,3215.410,3900.000
2,H2BRFP:background,526.832,12.197,6425.872,7794.000
3,H2BRFP:background,630.715,14.829,9352.720,11344.000
4,H2BRFP:Cntl,27136.408,466.333,12654611.367,15348895.000
5,H2BRFP:Expt,31323.036,297.810,9328303.115,11314385.000
6,TCFLefd2eGFP:background,187.978,9.044,1700.045,2062.000
7,TCFLefd2eGFP:background,526.832,9.081,4784.365,5803.000
8,TCFLefd2eGFP:background,630.715,9.329,5884.200,7137.000
9,TCFLefd2eGFP:Cntl,27136.408,157.041,4261541.464,5168863.000
10,TCFLefd2eGFP:Expt,31323.036,91.629,2870105.114,3481177.000
