 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,76.521,8.088,618.863,12010.000
2,H2BRFP:background,62.144,7.794,484.321,9399.000
3,H2BRFP:background,48.231,8.069,389.199,7553.000
4,H2BRFP:Cntl,3428.843,314.678,1078981.344,20939303.000
5,H2BRFP:Expt,2993.062,574.113,1718354.568,33347330.000
6,TCFLefd2eGFP:background,76.521,9.533,729.496,14157.000
7,TCFLefd2eGFP:background,62.144,9.876,613.710,11910.000
8,TCFLefd2eGFP:background,48.231,9.531,459.690,8921.000
9,TCFLefd2eGFP:Cntl,3428.843,201.686,691550.819,13420614.000
10,TCFLefd2eGFP:Expt,2993.062,353.983,1059492.149,20561085.000
