 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,54.415,102.473,5576.056,108212
2,H2BRFP:background,29.526,98.867,2919.169,56651
3,H2BRFP:background,25.198,100.196,2524.715,48996
4,H2BRFP:Cntl,5419.820,388.037,2103088.117,40813680
5,H2BRFP:Expt,3786.093,336.093,1272477.841,24694402
6,TCFLefd2eGFP:background,54.415,10.084,548.732,10649
7,TCFLefd2eGFP:background,29.526,10.333,305.103,5921
8,TCFLefd2eGFP:background,25.198,10.053,253.317,4916
9,TCFLefd2eGFP:Cntl,5419.820,50.358,272929.584,5296621
10,TCFLefd2eGFP:Expt,3786.093,44.526,168579.906,3271554
