Date,Experiment,Image,Target,Treatment,Dose,Embryo,Somites,Section,Control Side,Experimental Side
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb13_8ss_20x_sec3.tif",SMPD3,MO,0.8 mM,1,8,3,Complete channel,Complete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb1_8ss_20x_sec3.tif",SMPD3,MO,0.8 mM,1,8,4,Complete channel,Complete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb1_8ss_20x_sec4.tif",SMPD3,MO,0.8 mM,1,8,5,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb1_8ss_20x_sec5.tif",SMPD3,MO,0.8 mM,3,9,1,Complete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb3_9ss_20x_sec1.tif",SMPD3,MO,0.8 mM,3,9,2,Complete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb3_9ss_20x_sec2.tif",SMPD3,MO,0.8 mM,3,9,3,Complete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb3_9ss_20x_sec3.tif",SMPD3,MO,0.8 mM,6,8,2,Incomplete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb6_8ss_20x_sec2.tif",SMPD3,MO,0.8 mM,6,8,3,Complete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb6_8ss_20x_sec3.tif",SMPD3,MO,0.8 mM,6,8,4,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb6_8ss_20x_sec4.tif",SMPD3,MO,0.8 mM,7,9,1,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb7_9ss_20x_sec1.tif",SMPD3,MO,0.8 mM,7,9,2,Incomplete channel,Complete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb7_9ss_20x_sec2.tif",SMPD3,MO,0.8 mM,7,9,3,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb7_9ss_20x_sec3.tif",SMPD3,MO,0.8 mM,8,7,1,Complete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb8_8ss_20x_sec1.tif",SMPD3,MO,0.8 mM,8,7,2,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb8_8ss_20x_sec2.tif",SMPD3,MO,0.8 mM,8,7,3,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb8_8ss_20x_sec3.tif",SMPD3,MO,0.8 mM,12,8,1,Incomplete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb12_8ss_20x_sec1.tif",SMPD3,MO,0.8 mM,12,8,2,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb12_8ss_20x_sec2.tif",SMPD3,MO,0.8 mM,12,8,3,Incomplete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb12_8ss_20x_sec3.tif",SMPD3,MO,0.8 mM,13,8,1,Incomplete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb13_8ss_20x_sec1.tif",SMPD3,MO,0.8 mM,13,8,2,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,"20180514_SMPD3MO0,8mM_Pax7Laminin_Emb13_8ss_20x_sec2.tif",SMPD3,MO,0.8 mM,13,8,3,Complete channel,No channel
