 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:4/4 - Emb2_7ss_c.czi #1,107754.765,3984.664,0.000,429366531.909,2083130528.000,0.000
2,A:ExptArea:c:4/4 - Emb2_7ss_c.czi #1,70477.450,4208.270,0.000,296588113.891,1438937850.000,0.000
3,A:Cntl1:c:4/4 - Emb2_7ss_c.czi #1,105.944,3518.819,-90.000,372796.444,1808673.000,232.902
4,A:Expt1:c:4/4 - Emb2_7ss_c.czi #1,72.553,3502.906,-90.000,254145.769,1233023.000,159.354
5,A:Cntl2:c:4/4 - Emb2_7ss_c.czi #1,91.103,4218.631,-90.000,384331.108,1864635.000,200.214
6,A:Expt2:c:4/4 - Emb2_7ss_c.czi #1,63.278,4243.622,-90.000,268526.276,1302792.000,138.924
7,A:Cntl3:c:4/4 - Emb2_7ss_c.czi #1,93.783,3514.483,-94.544,329598.004,1599089.852,206.310
8,A:Expt3:c:4/4 - Emb2_7ss_c.czi #1,63.484,3848.029,-94.485,244287.224,1185192.921,139.351
9,A:Cntl4:c:4/4 - Emb2_7ss_c.czi #1,62.659,4314.144,-87.732,270321.082,1311499.749,137.670
10,A:Expt4:c:4/4 - Emb2_7ss_c.czi #1,43.490,5216.271,-88.363,226858.095,1100633.114,95.379
