 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:4/4 - Emb9_9ss_b.czi #1,151524.941,3930.058,0,595501746.392,2889158272.000,0.000
2,A:ExptArea:c:4/4 - Emb9_9ss_b.czi #1,114966.970,4400.731,0,505938662.392,2454630705.000,0.000
3,A:Cntl1:c:4/4 - Emb9_9ss_b.czi #1,112.127,3937.426,-90,441492.227,2141960.000,246.522
4,A:Exp1:c:4/4 - Emb9_9ss_b.czi #1,76.881,3055.836,-90,234936.582,1139827.000,168.888
5,A:Cntl2:c:4/4 - Emb9_9ss_b.czi #1,99.142,3475.040,-90,344521.657,1671494.000,217.920
6,A:Exp2:c:4/4 - Emb9_9ss_b.czi #1,80.591,3151.586,-90,253990.563,1232270.000,177.060
7,A:Cntl3:c:4/4 - Emb9_9ss_b.czi #1,125.112,3442.593,-90,430711.124,2089654.000,275.124
8,A:Exp3:c:4/4 - Emb9_9ss_b.czi #1,78.736,4053.901,-90,319189.176,1548590.000,172.974
9,A:Cntl4:c:4/4 - Emb9_9ss_b.czi #1,83.683,3829.534,-90,320467.302,1554791.000,183.870
10,A:Exp4:c:4/4 - Emb9_9ss_b.czi #1,89.248,5029.065,-90,448835.110,2177585.000,196.128
