 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,120656.409,3054.544,0.000,368550355.520,1788072241.000,0.000
2,A:ExptArea:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,91674.434,3314.360,0.000,303842105.560,1474131354.000,0.000
3,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,108.417,2601.979,-95.906,282098.801,1368640.749,238.253
4,A:Expt:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,81.828,3468.645,-88.264,283832.488,1377051.969,179.867
5,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,94.195,3220.090,-104.859,303316.460,1471581.113,207.140
6,A:Expt:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,89.867,3424.043,-88.025,307707.042,1492882.622,197.607
7,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,99.760,2700.265,-92.490,269378.859,1306928.219,219.489
8,A:Expt:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,65.133,2899.711,-88.909,188865.934,916308.800,143.036
9,A:Cntl:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,91.516,2617.187,-98.569,239513.219,1162031.001,201.097
10,A:Expt:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,96.668,2882.936,-87.431,278688.873,1352097.018,212.686
