Date,Experiment,Image,Target,Treatment,Dose,Embryo,Somites,Section,Control MO,SMPD3 MO
20180418,2018.04.18_SMPD3_CRISPR_EMT_Markers,SMPD3_gRNA1_Pax7_Ncad_Laminin_Emb5_sec7.czi,SMPD3,gRNA1,2 µg/µl,5,9,7,Incomplete channel,No channel
20180418,2018.04.18_SMPD3_CRISPR_EMT_Markers,SMPD3_gRNA1_Pax7_Ncad_Laminin_Emb5_sec8.czi,SMPD3,gRNA1,2 µg/µl,5,9,8,Complete channel,No channel
20180418,2018.04.18_SMPD3_CRISPR_EMT_Markers,SMPD3_gRNA1_Pax7_Ncad_Laminin_Emb5_sec9.czi,SMPD3,gRNA1,2 µg/µl,5,9,9,Complete channel,Incomplete channel
20180418,2018.04.18_SMPD3_CRISPR_EMT_Markers,SMPD3_gRNA1_Pax7_Ncad_Laminin_Emb6_sec3.czi,SMPD3,gRNA1,2 µg/µl,6,8,3,Complete channel,Complete channel
20180418,2018.04.18_SMPD3_CRISPR_EMT_Markers,SMPD3_gRNA1_Pax7_Ncad_Laminin_Emb6_sec4.czi,SMPD3,gRNA1,2 µg/µl,6,8,4,Complete channel,No channel
20180418,2018.04.18_SMPD3_CRISPR_EMT_Markers,SMPD3_gRNA1_Pax7_Ncad_Laminin_Emb6_sec5.czi,SMPD3,gRNA1,2 µg/µl,6,8,5,Complete channel,Incomplete channel
20180418,2018.04.18_SMPD3_CRISPR_EMT_Markers,SMPD3_gRNA1_Pax7_Ncad_Laminin_Emb7_sec2.czi,SMPD3,gRNA1,2 µg/µl,7,8,2,Incomplete channel,No channel
20180418,2018.04.18_SMPD3_CRISPR_EMT_Markers,SMPD3_gRNA1_Pax7_Ncad_Laminin_Emb7_sec3.czi,SMPD3,gRNA1,2 µg/µl,7,8,3,Incomplete channel,No channel
20180418,2018.04.18_SMPD3_CRISPR_EMT_Markers,SMPD3_gRNA1_Pax7_Ncad_Laminin_Emb7_sec4.czi,SMPD3,gRNA1,2 µg/µl,7,8,4,Incomplete channel,No channel
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Complete channel
,,,,,,,,,,Incomplete channel
,,,,,,,,,,No channel
