 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,154606.581,4019.266,0.000,621404911.961,3014831027.000,0.000
2,A:ExptArea:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,103297.507,4707.369,0.000,486259465.425,2359154386.000,0.000
3,A:Cntl1:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,120.784,3937.566,83.822,475594.914,2307413.856,265.772
4,A:Exp1:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,80.591,4771.431,82.493,384536.132,1865629.703,177.217
5,A:Cntl2:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,130.059,3389.903,84.534,440888.067,2139028.831,285.958
6,A:Exp2:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,87.187,4466.844,84.695,389451.040,1889475.055,191.500
7,A:Cntl3:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,98.523,3849.654,87.479,379281.217,1840134.762,216.768
8,A:Exp3:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,32.979,5569.829,86.760,183684.944,891172.658,72.302
9,A:Cntl4:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,120.578,4469.305,84.699,538899.177,2614543.154,265.363
10,A:Exp4:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,107.593,4594.403,85.045,494323.513,2398278.219,236.510
