Date,Experiment,Image,Target,Treatment,Dose,Embryo,Somites,Section,Control MO,SMPD3 MO
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb1_sec3.czi,SMPD3,MO,0.8 mM,1,8,3,Complete channel,Complete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb1_sec4.czi,SMPD3,MO,0.8 mM,1,8,4,Complete channel,Complete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb1_sec5.czi,SMPD3,MO,0.8 mM,1,8,5,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb3_sec1.czi,SMPD3,MO,0.8 mM,3,9,1,Complete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb3_sec2.czi,SMPD3,MO,0.8 mM,3,9,2,Complete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb3_sec3.czi,SMPD3,MO,0.8 mM,3,9,3,Complete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb6_sec2.czi,SMPD3,MO,0.8 mM,6,8,2,Incomplete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb6_sec3.czi,SMPD3,MO,0.8 mM,6,8,3,Complete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb6_sec4.czi,SMPD3,MO,0.8 mM,6,8,4,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb7_sec1.czi,SMPD3,MO,0.8 mM,7,9,1,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb7_sec2.czi,SMPD3,MO,0.8 mM,7,9,2,Incomplete channel,Complete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb7_sec3.czi,SMPD3,MO,0.8 mM,7,9,3,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb8_sec1.czi,SMPD3,MO,0.8 mM,8,7,1,Complete channel,Incomplete channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb8_sec2.czi,SMPD3,MO,0.8 mM,8,7,2,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb8_sec3.czi,SMPD3,MO,0.8 mM,8,7,3,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb12_sec1.czi,SMPD3,MO,0.8 mM,12,8,1,Incomplete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb12_sec2.czi,SMPD3,MO,0.8 mM,12,8,2,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb12_sec3.czi,SMPD3,MO,0.8 mM,12,8,3,Incomplete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb13_sec1.czi,SMPD3,MO,0.8 mM,13,8,1,Incomplete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb13_sec2.czi,SMPD3,MO,0.8 mM,13,8,2,Complete channel,No channel
20180514,2018.05.14_SMPD3_and_Control_MOs,SMPD3MO_Emb13_sec3.czi,SMPD3,MO,0.8 mM,13,8,3,Complete channel,No channel
