 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb13_8ss_10x.czi #1,123418.551,3536.947,0.000,436524897.099,2117860317.000,0.000
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb13_8ss_10x.czi #1,46528.007,4775.059,0.000,222173985.362,1077907515.000,0.000
3,A:Cntl1:c:1/3 - SMPD3MO_0;8mM_Emb13_8ss_10x.czi #1,136.037,3287.830,-85.301,447265.109,2169967.924,299.284
4,A:Expt1:c:1/3 - SMPD3MO_0;8mM_Emb13_8ss_10x.czi #1,57.300,4098.150,-118.511,234825.002,1139285.653,125.548
5,A:Cntl2:c:1/3 - SMPD3MO_0;8mM_Emb13_8ss_10x.czi #1,115.837,3270.692,-89.387,378867.781,1838128.923,254.709
6,A:Expt2:c:1/3 - SMPD3MO_0;8mM_Emb13_8ss_10x.czi #1,37.719,5932.017,-117.408,223751.084,1085559.025,82.847
7,A:Cntl3:c:1/3 - SMPD3MO_0;8mM_Emb13_8ss_10x.czi #1,120.578,3489.279,-85.579,420729.823,2041228.352,265.017
8,A:Expt3:c:1/3 - SMPD3MO_0;8mM_Emb13_8ss_10x.czi #1,43.697,4037.988,-121.661,176446.316,856053.464,96.009
9,A:Cntl4:c:1/3 - SMPD3MO_0;8mM_Emb13_8ss_10x.czi #1,76.881,3594.423,-91.848,276343.823,1340719.903,168.976
10,A:Expt4:c:1/3 - SMPD3MO_0;8mM_Emb13_8ss_10x.czi #1,35.452,5105.092,-92.010,180985.469,878075.788,77.682
