Date,Experiment,Image,Target,Treatment,Dose,Embryo,Somites,Section,Control MO,SMPD3 MO
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb1_sec1.czi,SMPD3,gRNA1,2 µg/µl,1,9,1,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb1_sec2.czi,SMPD3,gRNA1,2 µg/µl,1,9,2,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb1_sec3.czi,SMPD3,gRNA1,2 µg/µl,1,9,3,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb2_sec1.czi,SMPD3,gRNA1,2 µg/µl,2,8,1,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb2_sec2.czi,SMPD3,gRNA1,2 µg/µl,2,8,2,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb2_sec3.czi,SMPD3,gRNA1,2 µg/µl,2,8,3,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb3_sec1.czi,SMPD3,gRNA1,2 µg/µl,3,9,1,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb3_sec2.czi,SMPD3,gRNA1,2 µg/µl,3,9,2,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb3_sec3.czi,SMPD3,gRNA1,2 µg/µl,3,9,3,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb4_sec1.czi,SMPD3,gRNA1,2 µg/µl,4,9,1,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb4_sec2.czi,SMPD3,gRNA1,2 µg/µl,4,9,2,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb4_sec3.czi,SMPD3,gRNA1,2 µg/µl,4,9,3,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb5_sec1.czi,SMPD3,gRNA1,2 µg/µl,5,8,1,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb5_sec2.czi,SMPD3,gRNA1,2 µg/µl,5,8,2,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb5_sec3.czi,SMPD3,gRNA1,2 µg/µl,5,8,3,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb9_sec1.czi,SMPD3,gRNA1,2 µg/µl,9,9,1,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb9_sec2.czi,SMPD3,gRNA1,2 µg/µl,9,9,2,,
20180616,2018.06.16_SMPD3_CRISPR,SMPD3_CRISPR_Emb9_sec3.czi,SMPD3,gRNA1,2 µg/µl,9,9,3,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Complete channel
,,,,,,,,,,Incomplete channel
,,,,,,,,,,No channel
