 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/2 - SMPD3_MO_Emb5_10x_8ss.czi #1,120132.031,2268.364,0.000,272503211.333,1322086647.000,0.000
2,A:ExptArea:c:1/2 - SMPD3_MO_Emb5_10x_8ss.czi #1,70750.760,2910.904,0.000,205948656.069,999188108.000,0.000
3,A:Cntl:c:1/2 - SMPD3_MO_Emb5_10x_8ss.czi #1,107.799,2349.351,89.671,253256.891,1228710.490,236.992
4,A:Expt:c:1/2 - SMPD3_MO_Emb5_10x_8ss.czi #1,55.239,3029.619,90.000,167353.413,811938.000,121.218
5,A:Cntl:c:1/2 - SMPD3_MO_Emb5_10x_8ss.czi #1,110.272,2147.671,90.000,236828.108,1149004.000,242.436
6,A:Expt:c:1/2 - SMPD3_MO_Emb5_10x_8ss.czi #1,55.857,3179.037,90.000,177572.850,861519.000,122.580
7,A:Cntl:c:1/2 - SMPD3_MO_Emb5_10x_8ss.czi #1,99.142,2545.269,90.358,252342.506,1224274.223,217.924
8,A:Expt:c:1/2 - SMPD3_MO_Emb5_10x_8ss.czi #1,54.621,2313.871,90.651,126385.368,613175.920,119.864
9,A:Cntl:c:1/2 - SMPD3_MO_Emb5_10x_8ss.czi #1,97.287,2065.365,90.365,200932.679,974852.408,213.838
10,A:Expt:c:1/2 - SMPD3_MO_Emb5_10x_8ss.czi #1,48.437,3960.740,90.000,191847.414,930774.000,106.236
