 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/3 - SMPD3_MO_TCFLef_RFP_Emb3_10x_9ss.czi #1,122618.821,1658.938,0.000,203417030.733,986905581.000,0.000
2,A:ExptArea:c:1/3 - SMPD3_MO_TCFLef_RFP_Emb3_10x_9ss.czi #1,85467.442,1725.042,0.000,147434936.189,715300783.000,0.000
3,A:Cntl:c:1/3 - SMPD3_MO_TCFLef_RFP_Emb3_10x_9ss.czi #1,79.149,1603.868,78.250,126943.821,615885.332,173.894
4,A:Expt:c:1/3 - SMPD3_MO_TCFLef_RFP_Emb3_10x_9ss.czi #1,89.454,1774.416,82.432,158729.224,770096.565,196.478
5,A:Cntl:c:1/3 - SMPD3_MO_TCFLef_RFP_Emb3_10x_9ss.czi #1,116.662,1626.337,82.988,189731.217,920506.982,256.613
6,A:Expt:c:1/3 - SMPD3_MO_TCFLef_RFP_Emb3_10x_9ss.czi #1,91.516,1457.882,81.431,133418.780,647299.480,201.097
7,A:Cntl:c:1/3 - SMPD3_MO_TCFLef_RFP_Emb3_10x_9ss.czi #1,119.341,1617.141,85.236,192991.511,936324.746,262.410
8,A:Expt:c:1/3 - SMPD3_MO_TCFLef_RFP_Emb3_10x_9ss.czi #1,61.629,2538.920,85.380,156470.273,759136.957,135.278
9,A:Cntl:c:1/3 - SMPD3_MO_TCFLef_RFP_Emb3_10x_9ss.czi #1,111.509,1692.523,98.310,188731.091,915654.732,245.009
10,A:Expt:c:1/3 - SMPD3_MO_TCFLef_RFP_Emb3_10x_9ss.czi #1,119.753,1430.842,99.219,171348.132,831318.927,263.546
